orbis_name,id,original_orbis_name,kununu_name,kununu_id,original_kununu_name,match_type,Unnamed: 0
aurelius equity opportunities se und co kgaa,468595787,aurelius equity opportunities se und co kgaa,aurelius equity opportunities se und co kgaa,686fdbfe-2c1f-49e8-b18d-027da9edb969,aurelius equity opportunities se und co kgaa,exact_match,
bristolmyers squibb gmbh und co kgaa,2774114,bristolmyers squibb gmbh und co kgaa,bristolmyers squibb gmbh und co kgaa,f411dcf4-a344-4694-943d-0da0009c6f22,bristolmyers squibb gmbh und co kgaa,exact_match,
altana ag,50234680,altana ag,altana ag,52e86d55-1347-4920-bb6d-81b08e9a696a,altana ag,exact_match,
seat deutschland gmbh,2634898,seat deutschland gmbh,seat deutschland gmbh,7c10e353-0869-441d-b259-f4bf9cbfd009,seat deutschland gmbh,exact_match,
3m deutschland gmbh,2579304,3m deutschland gmbh,3m deutschland gmbh,ccb7d1b6-7380-4b01-a75d-0a035330fce4,3m deutschland gmbh,exact_match,
pro aurum gmbh,71385786,pro aurum gmbh,pro aurum gmbh,f131714f-0a42-4082-b6c2-9b5a06f89cfd,pro aurum gmbh,exact_match,
speira gmbh,91930818,speira gmbh,speira gmbh,7a2b6d26-8528-4e0c-8827-29ccd4c5ac12,speira gmbh,exact_match,
nintendo of europe gmbh,2747509,nintendo of europe gmbh,nintendo of europe gmbh,91f01513-5c48-4dce-a30f-f36ac065e3ac,nintendo of europe gmbh,exact_match,
rheinenergie ag,7589093,rheinenergie ag,rheinenergie ag,0b1ac3b0-2479-4733-80f4-a837104924a1,rheinenergie ag,exact_match,
team se,2310312,team se,team se,64d79be4-56bd-4e92-ae7d-56239978a340,team se,exact_match,
rohde und schwarz gmbh und co kg,2773660,rohde und schwarz gmbh und co kg,rohde und schwarz gmbh und co kg,676afe2c-056b-4707-8815-0b2961b40a09,rohde und schwarz gmbh und co kg,exact_match,
volkswagen bank gmbh,58471074,volkswagen bank gmbh,volkswagen bank gmbh,84ff6635-e114-4c26-b9c6-d4f692fd4559,volkswagen bank gmbh,exact_match,
computacenter ag und co ohg,2560306,computacenter ag und co ohg,computacenter ag und co ohg,34420f51-2ea8-4385-82ec-89690fd260c0,computacenter ag und co ohg,exact_match,
avag holding se,2752519,avag holding se,avag holding se,a37cbb00-464a-4ee2-afce-255e1287fa2a,avag holding se,exact_match,
hp deutschland gmbh,228124893,hp deutschland gmbh,hp deutschland gmbh,f8002c1f-e4a9-473c-823e-5beae4cf9c8a,hp deutschland gmbh,exact_match,
deutsche tamoil gmbh,41156755,deutsche tamoil gmbh,deutsche tamoil gmbh,9c9ed6a0-6166-445d-b4d6-b6fe6c71ac4b,deutsche tamoil gmbh,exact_match,
ewe netz gmbh,13642603,ewe netz gmbh,ewe netz gmbh,5f92d8f0-18f9-42cd-9963-9edb3f746c3a,ewe netz gmbh,exact_match,
michelin reifenwerke ag und co kgaa,2677573,michelin reifenwerke ag und co kgaa,michelin reifenwerke ag und co kgaa,f04c2bf9-fb1e-4130-ba59-07cdaa71f65f,michelin reifenwerke ag und co kgaa,exact_match,
zollner elektronik ag,2807496,zollner elektronik ag,zollner elektronik ag,8257a5d7-2e4d-4c90-a434-cdc659a1c5b0,zollner elektronik ag,exact_match,
heidelberger druckmaschinen ag,2662438,heidelberger druckmaschinen ag,heidelberger druckmaschinen ag,adfa48bf-466b-4e7f-ab89-245f73abe1a8,heidelberger druckmaschinen ag,exact_match,
stadtwerke duisburg ag,2539607,stadtwerke duisburg ag,stadtwerke duisburg ag,8f7ee0d3-53c4-4748-b368-830b500e23ae,stadtwerke duisburg ag,exact_match,
alphabet fuhrparkmanagement gmbh,75130013,alphabet fuhrparkmanagement gmbh,alphabet fuhrparkmanagement gmbh,ee9814c4-c0cd-4a3d-a262-b4b5e22577f7,alphabet fuhrparkmanagement gmbh,exact_match,
euroshell deutschland gmbh und co kg,2324310,euroshell deutschland gmbh und co kg,euroshell deutschland gmbh und co kg,f0a3ef52-c321-4d52-88c9-36d9ce9f1727,euroshell deutschland gmbh und co kg,exact_match,
mobene gmbh und co kg,104804712,mobene gmbh und co kg,mobene gmbh und co kg,ae46d032-5195-4821-97f1-455ff07b1086,mobene gmbh und co kg,exact_match,
saarstahl ag,2715886,saarstahl ag,saarstahl ag,0ca4ea7f-4da7-4984-87f3-f3cae84671a8,saarstahl ag,exact_match,
lechwerke ag,2749272,lechwerke ag,lechwerke ag,987cedd4-8b37-49f9-a9a7-e591ac5a7ebc,lechwerke ag,exact_match,
zooplus se,2847627,zooplus se,zooplus se,826e7fe4-0372-4a21-bb38-cfc82bbf5006,zooplus se,exact_match,
sick ag,58466153,sick ag,sick ag,6a276ee0-6577-4873-b7d0-bbe991466d0e,sick ag,exact_match,
allianz technology se,49061662,allianz technology se,allianz technology se,823621ed-2da6-461b-9dd2-5949a240522b,allianz technology se,exact_match,
westfalen ag,2490024,westfalen ag,westfalen ag,0bd1fcec-839f-451b-b269-06ed9f07af94,westfalen ag,exact_match,
galeria karstadt kaufhof gmbh,2544382,galeria karstadt kaufhof gmbh,galeria karstadt kaufhof gmbh,5dbf2198-8c4a-461d-84cb-63a4ea8d8ac4,galeria karstadt kaufhof gmbh,exact_match,
entega ag,2604617,entega ag,entega ag,dcce7f2e-47a9-4041-9e8b-ffdc177c1e8a,entega ag,exact_match,
takeda gmbh,41217956,takeda gmbh,takeda gmbh,e6836dbf-004c-42fd-8c99-2f1e30d01a8b,takeda gmbh,exact_match,
grammer ag,2796183,grammer ag,grammer ag,5eb9624f-4fb8-4715-ba43-611921ea156c,grammer ag,exact_match,
currenta gmbh und co ohg,8913682,currenta gmbh und co ohg,currenta gmbh und co ohg,e2fc8de4-34f3-410f-9423-c423eebcd040,currenta gmbh und co ohg,exact_match,
raffinerie heide gmbh,99653519,raffinerie heide gmbh,raffinerie heide gmbh,1ea28de6-b42f-4fab-9589-7487b4667527,raffinerie heide gmbh,exact_match,
karl storz se und co kg,2705771,karl storz se und co kg,karl storz se und co kg,07cb4014-73a6-4f08-935e-a22023e644f7,karl storz se und co kg,exact_match,
raiffeisen waren gmbh,2627126,raiffeisen waren gmbh,raiffeisen waren gmbh,223868c6-e025-485c-8abd-5794ceaa89f1,raiffeisen waren gmbh,exact_match,
cal consult gmbh,2453781,cal consult gmbh,cal consult gmbh,46f90591-19e2-4467-9f18-3fb4bc7aee83,cal consult gmbh,exact_match,
